participant_id,session_start_time,session_end_time,session_duration_ms,record_created_at
0ba4f0a8-673f-4054-80e0-690aaf497b51,2025-11-11 03:16:11.301+00,2025-11-11 03:16:51.181+00,39880.0,2025-11-11 03:16:11.955979+00
0ba4f0a8-673f-4054-80e0-690aaf497b51,2025-11-11 03:14:18.638+00,2025-11-11 03:16:04.1+00,105462.0,2025-11-11 03:14:19.356667+00
0ba4f0a8-673f-4054-80e0-690aaf497b51,2025-11-11 03:13:33.605+00,2025-11-11 03:14:06.384+00,32779.0,2025-11-11 03:13:34.263028+00
0ba4f0a8-673f-4054-80e0-690aaf497b51,2025-11-11 03:10:00.116+00,2025-11-11 03:13:27.883+00,207767.0,2025-11-11 03:10:00.580739+00
0ba4f0a8-673f-4054-80e0-690aaf497b51,2025-11-11 03:08:52.092+00,,,2025-11-11 03:08:52.611909+00
0ba4f0a8-673f-4054-80e0-690aaf497b51,2025-11-11 03:08:34.386+00,,,2025-11-11 03:08:34.955771+00
548569b2-6aeb-4403-9dfe-4b84cd9cbf25,2025-11-10 22:31:13.062+00,2025-11-10 22:34:05.129+00,172067.0,2025-11-10 22:31:15.354882+00
548569b2-6aeb-4403-9dfe-4b84cd9cbf25,2025-11-10 22:30:47.912+00,,,2025-11-10 22:30:51.383185+00
e483224e-1a8b-49ed-8bd7-42e5478ff6b0,2025-11-10 16:24:41.637+00,2025-11-10 16:24:50.021+00,8384.0,2025-11-10 16:24:42.298194+00
e483224e-1a8b-49ed-8bd7-42e5478ff6b0,2025-11-10 16:23:53.642+00,2025-11-10 16:24:36.174+00,42532.0,2025-11-10 16:23:54.090379+00
9e7360ab-bdd9-40a7-a7f1-83fa542060b0,2025-11-10 15:26:49.632+00,2025-11-10 15:27:12.076+00,22444.0,2025-11-10 15:26:46.713975+00
2c298a5e-7070-4fd7-a6fe-ff3907029e8c,2025-11-09 12:20:30.728+00,2025-11-09 12:44:19.59+00,1428862.0,2025-11-09 12:20:30.051064+00
2c298a5e-7070-4fd7-a6fe-ff3907029e8c,2025-11-09 12:17:21.241+00,2025-11-09 12:20:11.844+00,170603.0,2025-11-09 12:17:20.522345+00
2c298a5e-7070-4fd7-a6fe-ff3907029e8c,2025-11-09 12:17:00.957+00,,,2025-11-09 12:17:00.289318+00
21121fd2-00ef-4b2a-974f-823f26f3f7fd,2025-11-08 13:40:47.157+00,2025-11-08 13:42:10.27+00,83113.0,2025-11-08 13:40:47.68916+00
21121fd2-00ef-4b2a-974f-823f26f3f7fd,2025-11-08 13:38:44.255+00,2025-11-08 13:40:26.056+00,101801.0,2025-11-08 13:38:44.747891+00
21121fd2-00ef-4b2a-974f-823f26f3f7fd,2025-11-08 13:31:16.945+00,2025-11-08 13:37:32.209+00,375264.0,2025-11-08 13:31:17.245212+00
21121fd2-00ef-4b2a-974f-823f26f3f7fd,2025-11-08 13:28:24.701+00,,,2025-11-08 13:28:24.915928+00
21121fd2-00ef-4b2a-974f-823f26f3f7fd,2025-11-08 13:25:23.247+00,,,2025-11-08 13:25:23.609109+00
090b95b5-f52a-4e45-8665-1cc819388638,2025-11-07 15:05:23.118+00,2025-11-07 15:08:29.358+00,186240.0,2025-11-07 15:05:24.651553+00
157bcbd1-0270-41ee-af9a-4211ed21ea7c,2025-11-07 13:09:45.144+00,2025-11-07 13:10:45.482+00,60338.0,2025-11-07 13:09:44.662549+00
b4dc7adf-e8db-4728-b4e3-9581f9be6651,2025-11-06 16:07:38.685+00,2025-11-06 16:07:55.058+00,16373.0,2025-11-06 16:07:38.926691+00
b4dc7adf-e8db-4728-b4e3-9581f9be6651,2025-11-06 16:01:25.995+00,2025-11-06 16:07:03.29+00,337295.0,2025-11-06 16:01:26.045803+00
18b17697-3a40-4604-ba57-75c836a01401,2025-11-04 17:32:32.083+00,2025-11-04 17:34:10.53+00,98447.0,2025-11-04 17:32:31.917777+00
1cde5bc6-87ef-4a39-87da-3e93c51cfffa,2025-11-03 21:04:43.443+00,2025-11-03 21:04:47.341+00,3898.0,2025-11-03 21:04:43.843249+00
1cde5bc6-87ef-4a39-87da-3e93c51cfffa,2025-11-03 21:02:02.146+00,2025-11-03 21:02:16.01+00,13864.0,2025-11-03 21:02:02.864605+00
1cde5bc6-87ef-4a39-87da-3e93c51cfffa,2025-11-03 20:52:36.632+00,2025-11-03 20:58:25.37+00,348738.0,2025-11-03 20:52:36.755519+00
1cde5bc6-87ef-4a39-87da-3e93c51cfffa,2025-11-03 20:47:51.9+00,2025-11-03 20:52:15.314+00,263414.0,2025-11-03 20:47:51.915959+00
a7128b4a-e209-487c-844d-c485ecac85ec,2025-11-03 20:40:12.84+00,2025-11-03 20:43:06.979+00,174139.0,2025-11-03 20:40:14.101203+00
a7128b4a-e209-487c-844d-c485ecac85ec,2025-11-03 20:40:12.84+00,2025-11-03 20:43:03.241+00,170401.0,2025-11-03 20:43:07.961499+00
a7128b4a-e209-487c-844d-c485ecac85ec,2025-11-03 20:38:38.91+00,2025-11-03 20:40:02.893+00,83983.0,2025-11-03 20:38:39.113154+00
cb9660a8-d526-4241-8700-235ce3e07153,2025-11-03 18:01:11.521+00,2025-11-03 18:02:21.784+00,70263.0,2025-11-03 18:00:27.028435+00
cb9660a8-d526-4241-8700-235ce3e07153,2025-11-03 17:57:33.275+00,2025-11-03 18:00:27.525+00,174250.0,2025-11-03 17:56:44.322429+00
386be8d7-6771-4885-8745-e30399b113d0,2025-11-03 16:15:04.861+00,2025-11-03 16:18:47.225+00,222364.0,2025-11-03 16:15:05.666955+00
